session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Nationality,Sex,Student Status
5fc0d5fb5c4bc35dec5499f0,58237d6a9b80f50001ba247b,RETURNED,2020-11-27 10:33:31.370000,,13057382.42822,35,408,9,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0d5fba927f20c871bd356,5e21d4156ebb72000df49f65,APPROVED,2020-11-27 10:33:33.675000,2020-12-15 15:00:26.768000,1571213.093,28,174,0,100,2020-12-15 15:00:27.212000,Manual Completion,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,No
5fc0d7f953e1255d33c0aa5a,55d10c94cc2b1800102be64b,RETURNED,2020-11-27 10:42:01.652000,,13056872.154061,37,1202,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0d83210d9330009a44148,5f0c40741fa6930438c1f19c,APPROVED,2020-11-27 10:42:58.956000,2020-11-27 11:00:16.300000,1037.344,48,308,0,100,2020-12-15 14:27:35.301000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0d8d1c37dd8000804ef83,5aeae53b852ddf0001ced74a,APPROVED,2020-11-27 10:45:51.912000,2020-11-27 10:52:42.292000,410.38,30,900,8,99,2020-12-15 13:53:42.387000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0d991eb746f0008b29384,5f27f72385b08703d1d81197,APPROVED,2020-11-27 10:54:21.657000,2020-11-27 11:09:36.390000,914.733,21,142,0,100,2020-12-15 14:51:54.588000,5E5B3080,South Africa,South Africa,Unemployed (and job seeking),English,DATA EXPIRED,South Africa,Female,Yes
5fc0dfbe7e79850009388d7f,5eb9b011e926960deb4d6d91,TIMED-OUT,2020-11-27 11:15:12.592000,,13054881.236731,24,264,1,100,,,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0e8ecf17f0a02d5e5ff2e,5f4e50590bf655000c944e16,APPROVED,2020-11-27 11:54:19.886000,2020-11-27 12:09:55.940000,936.054,30,574,1,100,2020-12-15 14:51:57.921000,5E5B3080,United States,United States,Full-Time,English,DATA EXPIRED,United States,Female,No
5fc1019e4718bb07ef776224,5ced737eb1a5c50019d8652a,RETURNED,2020-11-27 13:39:45.893000,,13046207.948897,45,357,6,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc101a0931ac50786a0ed95,5f81a332e8159d2545b112a1,APPROVED,2020-11-27 13:39:44.050000,2020-11-27 14:09:53.402000,1809.352,29,82,0,100,2020-12-15 14:52:01.731000,5E5B3080,Poland,Poland,Full-Time,English,DATA EXPIRED,Poland,Male,No
5fc101a09a07250712e37ecb,5d1290103b20b0000102e8e3,APPROVED,2020-11-27 13:39:53.578000,2020-11-27 14:00:39.974000,1246.396,36,535,5,99,2020-12-15 14:03:27.328000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc101a32173a6089951d797,5b87c3f9e88caf0001b79375,APPROVED,2020-11-27 13:40:59.679000,2020-11-27 13:43:50.277000,170.598,31,543,1,100,2020-12-15 14:52:06.132000,5E5B3080,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
